,Programas_Sociales_x_Hogar-ID1-anho,Programas_Sociales_x_Hogar-HHID-identificacion_cuestionario_del_hogar,Programas_Sociales_x_Hogar-QHCLUSTER-conglomerado,Programas_Sociales_x_Hogar-QHNUMBER-vivienda_seleccionada,Programas_Sociales_x_Hogar-QHHOME-hogar_seleccionado,Programas_Sociales_x_Hogar-QH91-algun_miembro_es_beneficiario_de_beca_18?,Programas_Sociales_x_Hogar-QH93-algun_miembro_es_beneficiario_de_trabaja_peru?,Programas_Sociales_x_Hogar-QH95-algun_miembro_es_beneficiario_de_juntos?,Programas_Sociales_x_Hogar-QH96-numero_de_orden,Programas_Sociales_x_Hogar-QH96A-hace_cuanto_tiempo_es_beneficiario:_anhos,Programas_Sociales_x_Hogar-QH96M-hace_cuanto_tiempo_es_beneficiario:_meses,Programas_Sociales_x_Hogar-QH96AC-muestra_acuerdo_de_compromiso,Programas_Sociales_x_Hogar-QH97D-dia_de_afiliacion,Programas_Sociales_x_Hogar-QH97M-mes_de_afiliacion,Programas_Sociales_x_Hogar-QH97A-anho_de_afiliacion,Programas_Sociales_x_Hogar-QH99-algun_miembro_es_beneciario_de_pension_65?,Programas_Sociales_x_Hogar-QH101-algun_miembro_recibe_ayuda_de_vaso_de_leche?,Programas_Sociales_x_Hogar-QH103-algun_miembro_recibe_ayuda_del_comedor_popular?,Programas_Sociales_x_Hogar-QH106-algun_miembro_recibe_ayuda_de_wawa_wasi/_cuna_mas?,Programas_Sociales_x_Hogar-QHVIOLEN-numero_de_mujer_para_violencia_domestica,Programas_Sociales_x_Hogar-QH101-algun_miembro_recibe_ayuda_de_vaso_de_leche?_LABEL,Programas_Sociales_x_Hogar-QH103-algun_miembro_recibe_ayuda_del_comedor_popular?_LABEL,Programas_Sociales_x_Hogar-QH106-algun_miembro_recibe_ayuda_de_wawa_wasi/_cuna_mas?_LABEL,Programas_Sociales_x_Hogar-QH91-algun_miembro_es_beneficiario_de_beca_18?_LABEL,Programas_Sociales_x_Hogar-QH93-algun_miembro_es_beneficiario_de_trabaja_peru?_LABEL,Programas_Sociales_x_Hogar-QH95-algun_miembro_es_beneficiario_de_juntos?_LABEL,Programas_Sociales_x_Hogar-QH96A-hace_cuanto_tiempo_es_beneficiario:_anhos_LABEL,Programas_Sociales_x_Hogar-QH96AC-muestra_acuerdo_de_compromiso_LABEL,Programas_Sociales_x_Hogar-QH96M-hace_cuanto_tiempo_es_beneficiario:_meses_LABEL,Programas_Sociales_x_Hogar-QH97A-anho_de_afiliacion_LABEL,Programas_Sociales_x_Hogar-QH97D-dia_de_afiliacion_LABEL,Programas_Sociales_x_Hogar-QH97M-mes_de_afiliacion_LABEL,Programas_Sociales_x_Hogar-QH99-algun_miembro_es_beneciario_de_pension_65?_LABEL
994,2019,8815002,88,150,2,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2,No,No,0,0,No,No,0,0,0,0,0,0,0
995,2019,8815003,88,150,3,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1,No,No,No,No,No,No,0,0,0,0,0,0,0
996,2019,8901301,89,13,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2,No,No,0,0,No,No,0,0,0,0,0,0,0
997,2019,8901901,89,19,1,2,2,1,2,4,0,2,0,0,0,0,2,2,1,2,No,No,Si,No,No,Si,4,Si y no muestra el acuerdo de compromisos,0,0,0,0,0
998,2019,8902701,89,27,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,0,No,No,0,0,0,0,0,0,0
999,2019,8903501,89,35,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,No,No,0,0,No,No,0,0,0,0,0,0,0
1000,2019,8904701,89,47,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,5,No,No,0,No,No,No,0,0,0,0,0,0,0
1001,2019,8907301,89,73,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,1,No,No,0,0,No,No,0,0,0,0,0,0,0
1002,2019,8909401,89,94,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,No,No,0,0,No,No,0,0,0,0,0,0,0
1003,2019,8909801,89,98,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,0,No,No,0,0,0,0,0,0,0
1004,2019,9004301,90,43,1,0,2,1,2,3,0,2,0,0,0,0,1,2,0,2,Si,No,0,0,No,Si,3,Si y no muestra el acuerdo de compromisos,0,0,0,0,0
1005,2019,9004901,90,49,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,2,No,No,0,No,No,No,0,0,0,0,0,0,0
1006,2019,9007501,90,75,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,0,No,No,0,0,0,0,0,0,0
1007,2019,9008801,90,88,1,0,2,2,0,0,0,0,0,0,0,0,2,2,1,2,No,No,Si,0,No,No,0,0,0,0,0,0,0
1008,2019,9009201,90,92,1,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,No,No,No,No,No,No,0,0,0,0,0,0,No
1009,2019,9011001,90,110,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,0,No,No,0,No,No,No,0,0,0,0,0,0,0
1010,2019,9012801,90,128,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,No,No,0,0,No,No,0,0,0,0,0,0,0
1011,2019,9013001,90,130,1,0,2,1,2,5,0,2,0,0,0,0,1,2,2,2,Si,No,No,0,No,Si,5,Si y no muestra el acuerdo de compromisos,0,0,0,0,0
1012,2019,9014001,90,140,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,1,No,No,No,0,No,No,0,0,0,0,0,0,0
1013,2019,9015601,90,156,1,0,2,2,0,0,0,0,0,0,0,0,1,2,2,2,Si,No,No,0,No,No,0,0,0,0,0,0,0
1014,2019,9101601,91,16,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,1,No,No,0,0,No,No,0,0,0,0,0,0,0
1015,2019,9103601,91,36,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,No,No,No,0,0,0,0,0,0,0
1016,2019,9105901,91,59,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,3,No,No,No,No,No,No,0,0,0,0,0,0,0
1017,2019,9106601,91,66,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2,No,No,0,0,No,No,0,0,0,0,0,0,0
1018,2019,9106701,91,67,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,No,No,No,0,No,No,0,0,0,0,0,0,0
