,PS_PENSION65-ID1-anho,PS_PENSION65-HHID-identificacion_cuestionario_del_hogar,PS_PENSION65-HVIDX-numero_de_orden_en_el_hogar,PS_PENSION65-QHCLUSTER-conglomerado,PS_PENSION65-QHNUMBER-vivienda_seleccionada,PS_PENSION65-QHHOME-hogar_seleccionado,PS_PENSION65-PS100_1A-hace_cuanto_tiempo_es_beneficiario:_anhos,PS_PENSION65-PS100_1M-hace_cuanto_tiempo_es_beneficiario:_meses,PS_PENSION65-PS100_1S-alguien_mas_es_beneficiario,PS_PENSION65-PS3-numero_de_orden,PS_PENSION65-PS100_1A-hace_cuanto_tiempo_es_beneficiario:_anhos_LABEL,PS_PENSION65-PS100_1M-hace_cuanto_tiempo_es_beneficiario:_meses_LABEL,PS_PENSION65-PS100_1S-alguien_mas_es_beneficiario_LABEL
174,2019,15503501,1,155,35,1,5,98,1,1,5,No sabe,Si
175,2019,15503501,2,155,35,1,4,5,2,2,4,5,No
176,2019,15503701,1,155,37,1,7,0,2,1,7,0,No
177,2019,15506301,1,155,63,1,2,0,1,1,2,0,Si
178,2019,15506301,2,155,63,1,2,0,2,2,2,0,No
179,2019,15600201,1,156,2,1,6,0,1,1,6,0,Si
180,2019,15600201,2,156,2,1,6,0,2,2,6,0,No
181,2019,15601701,1,156,17,1,3,2,2,1,3,2,No
182,2019,15603201,1,156,32,1,5,6,2,1,5,6,No
183,2019,15604001,2,156,40,1,4,8,2,1,4,8,No
184,2019,15604201,1,156,42,1,5,0,2,1,5,0,No
185,2019,15700701,1,157,7,1,0,6,2,1,0,6,No
186,2019,15704501,1,157,45,1,2,0,2,1,2,0,No
187,2019,15707801,1,157,78,1,6,0,1,1,6,0,Si
188,2019,15707801,2,157,78,1,1,6,2,2,1,6,No
189,2019,15801501,1,158,15,1,4,0,2,1,4,0,No
190,2019,15802201,1,158,22,1,4,0,2,1,4,0,No
191,2019,15901701,1,159,17,1,1,0,2,1,1,0,No
192,2019,15902301,1,159,23,1,4,0,1,1,4,0,Si
193,2019,15902301,2,159,23,1,4,0,2,2,4,0,No
194,2019,15902601,1,159,26,1,2,0,2,1,2,0,No
195,2019,15902901,1,159,29,1,6,0,2,1,6,0,No
196,2019,16001201,2,160,12,1,4,0,2,1,4,0,No
197,2019,16001501,1,160,15,1,4,0,2,1,4,0,No
198,2019,16005801,3,160,58,1,1,0,2,1,1,0,No
199,2019,16007901,3,160,79,1,0,4,1,1,0,4,Si
200,2019,16007901,4,160,79,1,1,0,2,2,1,0,No
201,2019,16100701,1,161,7,1,2,0,2,1,2,0,No
202,2019,16201501,1,162,15,1,2,0,1,1,2,0,Si
