qhcluster,qhnumber,qhhome,ps109_1r,ps109_1a,ps109_1m,ps109_1s,ps7,hvidx,hhid
41,99,1,si,3.0,0.0,,1,4,      004109901
41,100,1,si,2.0,0.0,,1,3,      004110001
42,3,1,no,,,,1,3,      004200301
42,5,1,no,,,,1,3,      004200501
42,5,1,no,,,,2,4,      004200501
42,13,1,no,,,,1,3,      004201301
42,15,1,no,,,,1,3,      004201501
42,24,1,no,,,,1,3,      004202401
42,25,1,no,,,,1,5,      004202501
43,46,1,si,2.0,2.0,,1,3,      004304601
43,46,1,si,2.0,2.0,,2,4,      004304601
43,46,1,si,2.0,2.0,,3,5,      004304601
43,47,1,si,2.0,3.0,,1,4,      004304701
43,47,1,si,0.0,2.0,,2,5,      004304701
43,48,1,si,0.0,2.0,,1,3,      004304801
43,49,1,si,1.0,2.0,,1,3,      004304901
43,50,1,si,1.0,2.0,,1,2,      004305001
43,52,1,si,1.0,1.0,,1,5,      004305201
43,82,1,si,0.0,2.0,,1,3,      004308201
43,83,1,no,,,,1,3,      004308301
43,84,1,si,0.0,2.0,,1,3,      004308401
43,84,1,si,0.0,2.0,,2,4,      004308401
44,92,1,si,2.0,1.0,,1,4,      004409201
44,92,1,si,0.0,1.0,,2,5,      004409201
44,93,1,si,1.0,5.0,,1,4,      004409301
44,94,1,si,2.0,2.0,,1,3,      004409401
44,94,1,si,0.0,2.0,,2,4,      004409401
44,109,1,si,2.0,2.0,,1,6,      004410901
44,109,1,si,0.0,2.0,,2,7,      004410901
44,110,1,si,1.0,2.0,,1,3,      004411001
44,119,1,si,0.0,2.0,,1,3,      004411901
44,120,1,si,0.0,2.0,,1,5,      004412001
45,36,1,si,2.0,0.0,,1,7,      004503601
45,39,1,si,2.0,0.0,,1,3,      004503901
45,39,1,si,2.0,0.0,,2,4,      004503901
45,45,1,si,1.0,3.0,,1,5,      004504501
45,47,1,si,1.0,4.0,,1,3,      004504701
45,49,1,si,1.0,3.0,,1,5,      004504901
45,103,1,si,1.0,3.0,,1,4,      004510301
45,103,1,si,1.0,3.0,,2,5,      004510301
45,103,1,si,1.0,3.0,,3,6,      004510301
45,103,1,si,0.0,2.0,,4,7,      004510301
45,106,1,si,1.0,3.0,,1,4,      004510601
45,106,1,si,1.0,3.0,,2,5,      004510601
45,106,1,si,1.0,3.0,,3,6,      004510601
45,107,1,si,2.0,0.0,,1,3,      004510701
46,1,1,si,1.0,2.0,,1,3,      004600101
46,1,1,si,1.0,2.0,,2,4,      004600101
46,2,1,si,2.0,2.0,,1,4,      004600201
46,2,1,si,2.0,2.0,,2,5,      004600201
46,3,1,si,2.0,2.0,,1,4,      004600301
46,3,1,si,2.0,2.0,,2,5,      004600301
46,3,1,si,1.0,2.0,,3,6,      004600301
46,4,1,si,3.0,2.0,,1,2,      004600401
46,4,1,si,1.0,2.0,,2,3,      004600401
46,26,1,si,3.0,3.0,,1,3,      004602601
46,28,1,si,3.0,2.0,,1,4,      004602801
46,28,1,si,2.0,2.0,,2,5,      004602801
46,29,1,si,2.0,2.0,,1,4,      004602901
46,30,1,si,1.0,2.0,,1,5,      004603001
46,30,1,si,2.0,2.0,,2,6,      004603001
46,96,1,si,1.0,2.0,,1,3,      004609601
46,96,1,si,1.0,2.0,,2,4,      004609601
46,96,1,si,0.0,2.0,,3,5,      004609601
46,97,1,si,2.0,2.0,,1,3,      004609701
46,98,1,si,0.0,2.0,,1,3,      004609801
46,100,1,si,1.0,3.0,,1,2,      004610001
47,24,1,si,1.0,0.0,,1,3,      004702401
47,37,1,si,2.0,0.0,,1,3,      004703701
47,38,1,si,1.0,0.0,,1,3,      004703801
47,38,1,si,1.0,0.0,,2,4,      004703801
47,38,1,no,,,,3,5,      004703801
47,38,1,no,,,,4,6,      004703801
47,68,1,no,,,,1,2,      004706801
47,69,1,si,1.0,11.0,,1,3,      004706901
47,72,1,no,,,,1,3,      004707201
47,72,1,no,,,,2,4,      004707201
47,90,1,no,,,,1,3,      004709001
47,90,1,no,,,,2,4,      004709001
47,119,1,no,,,,1,2,      004711901
48,2,1,si,0.0,2.0,,1,3,      004800201
48,13,1,si,3.0,1.0,,1,4,      004801301
48,21,1,si,2.0,3.0,,1,3,      004802101
48,37,1,si,0.0,1.0,,1,3,      004803701
48,44,1,si,3.0,2.0,,1,3,      004804401
48,44,1,si,0.0,2.0,,2,6,      004804401
48,48,1,si,0.0,1.0,,1,3,      004804801
48,50,2,si,1.0,2.0,,1,3,      004805002
48,50,2,si,1.0,2.0,,2,4,      004805002
48,68,1,si,3.0,3.0,,1,4,      004806801
48,68,1,si,1.0,3.0,,2,5,      004806801
48,85,1,si,2.0,3.0,,1,4,      004808501
48,85,1,9,0.0,3.0,,2,5,      004808501
49,6,1,no,,,,1,3,      004900601
49,8,1,si,2.0,0.0,,1,2,      004900801
49,9,1,si,2.0,0.0,,1,4,      004900901
49,37,1,si,1.0,0.0,,1,3,      004903701
49,39,1,si,2.0,0.0,,1,5,      004903901
49,41,1,si,2.0,0.0,,1,6,      004904101
49,42,1,si,2.0,4.0,,1,3,      004904201
49,42,1,no,,,,2,4,      004904201
49,44,1,si,1.0,0.0,,1,3,      004904401
50,9,1,si,2.0,1.0,,1,3,      005000901
50,10,1,si,1.0,1.0,,1,3,      005001001
50,10,1,si,0.0,1.0,,2,4,      005001001
50,21,1,si,2.0,1.0,,1,3,      005002101
