qhcluster,qhnumber,qhhome,ps104_1a,ps104_1m,ps104_1s,ps5,hvidx,hhid
940,103,1,3,0.0,no,1,2,      094010301
950,2,1,2,0.0,si,1,7,      095000201
950,2,1,2,0.0,si,2,8,      095000201
950,2,1,2,0.0,no,3,9,      095000201
960,68,1,3,0.0,si,1,4,      096006801
960,68,1,3,0.0,no,2,6,      096006801
961,28,1,0,3.0,si,2,1,      096102801
961,28,1,0,3.0,,3,2,      096102801
961,28,1,0,3.0,si,1,3,      096102801
961,38,1,1,0.0,no,1,1,      096103801
969,114,1,6,0.0,,1,1,      096911401
980,46,1,0,2.0,no,1,2,      098004601
980,88,1,4,3.0,,1,1,      098008801
982,58,1,2,0.0,si,1,3,      098205801
982,58,1,9,0.0,no,2,4,      098205801
986,2,1,1,6.0,no,1,2,      098600201
993,4,1,1,0.0,si,1,1,      099300401
993,4,1,1,0.0,si,2,2,      099300401
993,4,1,1,0.0,,3,3,      099300401
996,55,1,1,0.0,no,1,5,      099605501
997,18,1,7,0.0,no,1,2,      099701801
997,40,1,10,0.0,,1,1,      099704001
1001,63,1,2,0.0,no,1,2,      100106301
1002,36,1,2,0.0,si,1,1,      100203601
1002,36,1,10,0.0,,2,2,      100203601
1002,37,1,10,0.0,si,1,1,      100203701
1002,37,1,10,0.0,si,2,2,      100203701
1002,37,1,6,0.0,,3,3,      100203701
1107,13,1,0,4.0,si,1,2,      110701301
1107,13,1,0,4.0,si,2,3,      110701301
1107,13,1,0,4.0,no,3,4,      110701301
1107,15,1,1,0.0,si,1,1,      110701501
1107,15,1,1,0.0,si,2,2,      110701501
1107,15,1,1,0.0,no,3,3,      110701501
1107,34,1,10,0.0,si,1,2,      110703401
1107,34,1,10,0.0,si,2,3,      110703401
1107,34,1,5,0.0,no,3,4,      110703401
1108,2,1,3,0.0,no,2,1,      110800201
1108,2,1,3,0.0,si,1,2,      110800201
1108,15,1,6,0.0,si,1,1,      110801501
1108,15,1,6,0.0,no,2,2,      110801501
1108,16,1,1,0.0,no,1,2,      110801601
1140,118,1,6,0.0,no,1,5,      114011801
1156,56,1,18,0.0,no,1,2,      115605601
1180,92,1,1,3.0,no,1,2,      118009201
1182,28,1,1,0.0,no,1,2,      118202801
1183,22,1,1,0.0,no,1,4,      118302201
1184,87,1,0,4.0,no,1,1,      118408701
1187,8,1,2,6.0,no,1,5,      118700801
1197,68,1,2,7.0,no,1,1,      119706801
1199,6,1,1,6.0,no,1,1,      119900601
