qhcluster,qhnumber,qhhome,ps107_1a,ps107_1m,ps107_1s,ps6,hvidx,hhid
1152,72,1,1,0.0,,1,7,      115207201
1156,28,1,0,2.0,,1,5,      115602801
1158,56,1,0,3.0,,1,4,      115805601
1167,60,1,1,5.0,,1,3,      116706001
1168,11,1,0,5.0,no,1,3,      116801101
1168,61,1,0,0.0,,1,4,      116806101
1169,69,1,0,2.0,,1,4,      116906901
1174,17,1,2,0.0,si,1,3,      117401701
1174,17,1,1,0.0,,2,4,      117401701
1174,68,1,1,0.0,,1,3,      117406801
1182,27,1,0,9.0,,1,5,      118202701
1186,42,1,0,9.0,,1,3,      118604201
1192,92,1,0,3.0,,1,3,      119209201
1192,145,1,1,2.0,,1,3,      119214501
1195,98,1,0,6.0,si,1,6,      119509801
1195,98,1,0,6.0,,2,7,      119509801
1197,95,1,1,6.0,,1,5,      119709501
1199,4,1,0,4.0,,1,3,      119900401
1199,58,1,1,2.0,,1,4,      119905801
1200,39,1,1,6.0,,1,3,      120003901
1200,45,1,1,1.0,,1,3,      120004501
1201,114,1,0,7.0,,1,4,      120111401
1209,49,1,2,0.0,,1,4,      120904901
1213,10,1,0,6.0,,1,2,      121301001
1214,13,1,0,2.0,,1,3,      121401301
1217,69,1,0,6.0,,1,2,      121706901
1229,4,1,0,4.0,,1,3,      122900401
1265,107,2,0,3.0,,1,3,      126510702
1281,27,1,0,7.0,,1,5,      128102701
1281,28,1,1,3.0,,1,4,      128102801
1285,93,1,1,0.0,,1,5,      128509301
1293,30,1,1,3.0,,1,9,      129303001
1295,51,1,1,0.0,no,1,3,      129505101
1295,53,1,0,4.0,,1,7,      129505301
1295,91,1,1,5.0,,1,5,      129509101
1301,28,1,0,5.0,si,1,3,      130102801
1301,28,1,0,3.0,,2,4,      130102801
1307,4,1,0,6.0,,1,3,      130700401
1307,87,1,0,6.0,,1,6,      130708701
1308,37,1,0,2.0,,1,3,      130803701
1310,16,1,2,0.0,,1,4,      131001601
1320,57,1,1,0.0,,1,5,      132005701
1321,34,1,1,2.0,,1,4,      132103401
1325,41,1,0,1.0,,1,7,      132504101
1325,43,2,0,2.0,,1,3,      132504302
1325,45,1,99,99.0,,1,4,      132504501
1326,35,1,0,1.0,no,1,5,      132603501
1326,55,1,0,1.0,,1,4,      132605501
1351,89,1,1,3.0,,1,3,      135108901
1362,5,1,0,4.0,,1,5,      136200501
1364,19,1,0,1.0,,1,3,      136401901
1366,99,1,0,1.0,,1,6,      136609901
1407,12,1,no sabe,,,1,5,      140701201
1415,26,1,0,2.0,,1,3,      141502601
1415,57,1,0,1.0,,1,5,      141505701
1434,114,1,0,1.0,,1,3,      143411401
1441,41,1,0,2.0,,1,6,      144104101
1445,65,1,1,2.0,,1,5,      144506501
1446,32,1,1,0.0,,1,4,      144603201
1447,56,1,1,1.0,,1,5,      144705601
1447,104,1,1,0.0,,1,5,      144710401
1448,64,1,0,2.0,,1,3,      144806401
1449,77,1,0,2.0,,1,4,      144907701
1458,59,1,0,4.0,,1,4,      145805901
1461,82,1,0,2.0,,1,5,      146108201
1461,86,1,0,2.0,,1,4,      146108601
1463,5,1,0,1.0,,1,5,      146300501
1463,26,1,2,1.0,,1,3,      146302601
1463,27,1,1,3.0,,1,4,      146302701
1463,47,1,1,0.0,,1,5,      146304701
1464,47,1,1,0.0,,1,3,      146404701
1468,58,1,0,7.0,si,1,5,      146805801
1468,58,1,0,7.0,,2,6,      146805801
1471,77,1,1,0.0,,1,6,      147107701
1472,85,1,0,5.0,,1,5,      147208501
