qhcluster,qhnumber,qhhome,ps100_1a,ps100_1m,ps100_1s,ps3,hvidx,hhid
447,74,1,1,5.0,,1,1,      044707401
448,84,1,3,0.0,,1,1,      044808401
449,71,1,1,3.0,,1,1,      044907101
450,6,1,1,0.0,no,1,1,      045000601
450,17,1,0,5.0,,1,1,      045001701
451,45,1,1,8.0,no,1,1,      045104501
451,46,1,0,1.0,,1,1,      045104601
452,26,1,2,0.0,,1,1,      045202601
452,41,1,3,4.0,,1,4,      045204101
452,59,1,3,6.0,si,1,1,      045205901
452,59,1,3,6.0,,2,2,      045205901
453,10,1,0,6.0,,1,1,      045301001
454,55,1,2,6.0,si,1,1,      045405501
454,55,1,2,6.0,,2,2,      045405501
455,44,1,5,2.0,,1,1,      045504401
457,67,1,1,6.0,,1,6,      045706701
457,95,1,4,0.0,,1,1,      045709501
463,4,1,2,4.0,,1,1,      046300401
463,58,1,1,6.0,no,1,2,      046305801
464,139,1,1,6.0,,1,10,      046413901
466,147,1,0,10.0,si,1,1,      046614701
466,147,1,0,10.0,,2,2,      046614701
467,45,1,2,4.0,,1,4,      046704501
468,22,1,2,0.0,,1,9,      046802201
468,69,1,3,0.0,,1,1,      046806901
470,23,1,0,5.0,,1,1,      047002301
471,65,1,2,0.0,si,1,1,      047106501
471,65,1,2,0.0,no,2,2,      047106501
472,10,1,0,1.0,si,1,1,      047201001
472,10,1,0,9.0,,2,2,      047201001
475,119,1,1,0.0,,1,4,      047511901
476,80,1,0,11.0,,1,1,      047608001
476,92,1,0,11.0,,1,6,      047609201
479,3,1,1,0.0,,1,1,      047900301
480,76,1,2,6.0,,1,9,      048007601
480,78,1,1,0.0,,1,1,      048007801
481,67,1,2,0.0,,1,2,      048106701
482,59,1,0,5.0,,1,1,      048205901
482,63,1,1,0.0,si,1,1,      048206301
482,63,1,0,2.0,,2,2,      048206301
483,9,1,1,0.0,,1,1,      048300901
483,11,1,0,5.0,,1,1,      048301101
483,22,1,2,0.0,,1,1,      048302201
483,26,1,0,4.0,,1,1,      048302601
483,27,1,3,0.0,si,1,1,      048302701
483,27,1,3,0.0,,2,2,      048302701
483,28,1,1,0.0,,1,1,      048302801
484,1,1,2,0.0,no,1,1,      048400101
485,13,1,1,4.0,,1,3,      048501301
485,20,1,3,2.0,,1,4,      048502001
486,35,1,2,8.0,,1,1,      048603501
486,75,1,no sabe,,,1,1,      048607501
488,1,1,0,8.0,,1,1,      048800101
488,5,1,2,0.0,,1,1,      048800501
488,49,1,0,9.0,,1,1,      048804901
489,14,1,0,4.0,,1,1,      048901401
489,16,1,0,3.0,,1,1,      048901601
489,54,1,0,1.0,,1,1,      048905401
490,113,1,0,10.0,,1,1,      049011301
491,48,1,0,1.0,,1,2,      049104801
491,49,1,2,0.0,,1,1,      049104901
492,3,1,3,0.0,,1,1,      049200301
492,16,1,1,8.0,si,1,1,      049201601
492,16,1,1,0.0,,2,2,      049201601
493,4,1,3,0.0,,1,4,      049300401
493,5,1,1,0.0,,1,9,      049300501
493,72,1,2,0.0,,1,1,      049307201
494,1,1,1,0.0,no,1,1,      049400101
494,10,1,0,4.0,,1,1,      049401001
494,82,1,1,1.0,,1,1,      049408201
496,1,1,0,1.0,,1,1,      049600101
496,20,1,0,6.0,,1,1,      049602001
497,41,1,2,0.0,,1,1,      049704101
498,21,1,2,0.0,no,1,1,      049802101
499,41,1,1,0.0,,1,1,      049904101
499,42,1,2,0.0,,1,2,      049904201
499,46,1,1,0.0,,1,1,      049904601
499,47,1,3,0.0,,1,2,      049904701
499,50,1,1,0.0,no,1,2,      049905001
502,7,1,no sabe,,si,1,1,      050200701
502,7,1,no sabe,,,2,2,      050200701
502,10,1,4,0.0,,1,5,      050201001
504,8,1,1,2.0,,1,2,      050400801
504,12,1,1,6.0,,1,2,      050401201
504,37,1,3,0.0,si,1,1,      050403701
504,37,1,1,0.0,,2,2,      050403701
510,43,1,1,0.0,,1,5,      051004301
511,42,1,1,0.0,,1,3,      051104201
513,8,1,2,0.0,,1,6,      051300801
516,54,1,1,0.0,,1,7,      051605401
520,70,1,3,0.0,,1,4,      052007001
524,87,1,1,6.0,,1,1,      052408701
527,86,1,2,3.0,si,1,1,      052708601
527,86,1,2,3.0,,2,2,      052708601
528,19,1,1,2.0,,1,5,      052801901
530,22,1,2,2.0,no,1,2,      053002201
533,64,1,1,6.0,,1,1,      053306401
536,9,1,1,2.0,si,1,1,      053600901
536,9,1,0,9.0,,2,2,      053600901
536,39,1,2,0.0,,1,1,      053603901
536,46,1,1,0.0,,1,9,      053604601
536,48,1,1,6.0,si,1,1,      053604801
536,48,1,0,4.0,,2,2,      053604801
538,10,1,1,0.0,,1,1,      053801001
539,76,1,0,6.0,,1,3,      053907601
539,120,1,2,0.0,,1,5,      053912001
540,21,1,0,2.0,,1,1,      054002101
541,49,1,0,7.0,,1,4,      054104901
543,105,1,3,0.0,,1,6,      054310501
545,57,1,1,0.0,si,1,2,      054505701
545,57,1,0,2.0,,2,3,      054505701
