ID1,HHID,NRO_ORDEN,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M
2019,"043207501",1,1,21,1,2016,nan
2019,"043301501",1,2,75,10,2017,nan
2019,"043404701",1,2,90,11,2018,nan
2019,"043404901",1,2,56,2,2014,nan
2019,"043404901",2,1,26,9,2014,nan
2019,"043410401",1,2,74,11,2018,nan
2019,"043418501",1,1,60,8,2015,nan
2019,"043501501",1,2,84,5,2019,nan
2019,"044007001",1,1,84,1,2019,nan
2019,"044201101",1,1,93,6,2017,nan
2019,"044207701",1,2,81,1,2015,nan
2019,"044208001",1,2,80,1,2018,nan
2019,"044303701",1,1,77,6,2016,nan
2019,"044400101",1,1,76,9,2018,nan
2019,"044402501",1,2,65,7,2017,nan
2019,"044502901",1,2,62,4,2015,nan
2019,"044504801",1,1,52,12,2017,nan
2019,"044504901",1,1,49,12,2017,nan
2019,"044801401",1,1,79,4,2014,nan
2019,"044804101",1,1,1,9,2015,nan
2019,"045002701",1,1,35,3,2017,nan
2019,"045009201",1,1,82,5,2014,nan
2019,"045308301",1,1,83,1,2018,nan
2019,"045402701",1,1,7,1,2017,nan
2019,"045402901",1,2,88,7,2014,nan
2019,"045502801",1,2,110,10,2014,nan
2019,"045505001",1,1,14,8,2015,nan
2019,"045708201",1,1,33,4,2017,nan
2019,"045802701",1,1,36,6,2016,nan
2019,"045802801",1,2,74,12,2015,nan
2019,"046007201",1,1,35,6,2014,nan
2019,"046309801",1,1,90,6,2014,nan
2019,"046402501",1,1,84,11,2018,nan
2019,"046807701",1,1,81,8,2015,nan
2019,"047402801",1,1,89,7,2014,nan
2019,"047511901",1,2,77,3,2017,nan
2019,"047600801",1,2,64,12,2017,nan
2019,"047801901",1,1,43,9,2018,nan
2019,"048006401",1,1,77,11,2017,nan
2019,"048008701",1,2,67,2,2014,nan
2019,"048215101",1,2,57,10,2017,nan
2019,"048215301",1,1,66,1,2015,nan
2019,"048408501",1,1,40,7,2016,nan
2019,"048409601",1,1,72,12,2017,nan
2019,"048501701",1,1,41,12,2014,nan
2019,"048601801",1,1,15,6,2014,nan
2019,"048903001",1,1,2,11,2018,nan
2019,"048904101",1,2,65,7,2014,nan
2019,"049100401",1,2,76,1,2016,nan
2019,"049205401",1,1,99,12,2018,nan
2019,"049205701",1,2,88,11,2014,nan
2019,"049401101",1,1,0,7,2017,nan
2019,"049604501",1,1,84,2,2018,nan
2019,"049800901",1,1,0,3,2018,nan
2019,"050006001",1,2,30,2,2016,4
2019,"050006301",1,1,25,12,2015,nan
2019,"050006701",1,1,98,12,2016,nan
2019,"050102601",1,2,64,2,2018,nan
2019,"050102901",1,1,32,1,2014,nan
2019,"050102901",2,2,88,9,2015,nan
2019,"050108301",1,2,84,3,2018,nan
2019,"050203301",1,1,85,2,2017,nan
2019,"050300401",1,1,51,10,2014,nan
2019,"050404601",1,1,77,5,2018,nan
2019,"050501001",1,1,52,4,2018,nan
2019,"050602801",1,1,69,8,2018,nan
2019,"050804201",1,2,34,4,2014,2
2019,"050900501",1,2,90,8,2014,nan
2019,"050901001",1,2,89,11,2017,nan
2019,"050901201",1,2,54,4,2017,nan
2019,"051201501",1,1,33,9,2016,nan
2019,"051204201",1,1,85,12,2018,nan
2019,"051400701",1,1,60,8,2015,nan
2019,"051400701",2,2,60,8,2016,nan
2019,"051403901",1,1,9,12,2014,nan
2019,"051409201",1,2,14,12,2016,4
2019,"051602801",1,1,82,10,2014,nan
2019,"051605601",1,2,93,11,2017,nan
2019,"051707001",1,2,56,1,2018,nan
2019,"051707601",1,1,78,3,2018,nan
2019,"051707701",1,2,1,4,2015,nan
2019,"051708401",1,2,90,6,2018,nan
2019,"051807301",1,1,50,10,2018,nan
2019,"052210901",1,1,90,4,2017,nan
2019,"052301901",1,2,67,11,2018,nan
2019,"052406801",1,1,42,11,2014,nan
2019,"052505701",1,2,95,2,2017,nan
2019,"052506301",1,2,98,11,2018,nan
2019,"052901801",1,1,65,12,2016,nan
2019,"052908801",1,2,76,5,2015,nan
2019,"052908801",2,1,48,5,2016,nan
2019,"053401001",1,2,98,2,2018,nan
2019,"053700301",1,2,74,10,2015,nan
2019,"053806001",1,2,23,2,2015,4
2019,"053911701",1,1,59,4,2015,nan
2019,"054009301",1,2,86,11,2018,nan
2019,"054114401",1,1,81,7,2018,nan
2019,"054207202",1,2,63,3,2015,nan
2019,"054311901",1,1,16,12,2014,nan
2019,"054608401",1,2,33,1,2019,4
2019,"054701801",1,2,68,10,2017,nan
2019,"054707401",1,2,89,1,2019,nan
2019,"054903701",1,1,36,10,2016,nan
2019,"054907701",1,1,0,7,2018,nan
2019,"055002901",1,2,90,7,2017,nan
2019,"055101501",1,2,94,1,2015,nan
2019,"055106201",1,1,31,4,2017,nan
2019,"055411801",1,2,25,5,2015,4
2019,"055504901",1,1,68,5,2017,nan
2019,"055506901",1,1,42,3,2015,nan
2019,"055601401",1,1,84,7,2018,nan
2019,"055601501",1,1,87,6,2018,nan
2019,"055709301",1,1,55,6,2015,nan
2019,"055711301",1,1,60,12,2017,nan
2019,"055715801",1,1,19,3,2015,nan
2019,"055803301",1,1,58,11,2017,nan
2019,"055813301",1,2,63,7,2018,nan
2019,"055907901",1,2,19,5,2017,4
2019,"056007901",1,1,50,1,2014,nan
2019,"056103401",1,1,64,12,2016,nan
2019,"056202501",1,2,86,8,2015,nan
2019,"056203801",1,1,11,6,2014,nan
2019,"056301201",1,1,73,2,2015,nan
2019,"056308701",1,1,66,11,2016,nan
2019,"056401901",1,2,78,2,2014,nan
2019,"056411601",1,2,63,9,2016,nan
2019,"056606901",1,1,63,2,2018,nan
2019,"056700101",1,2,15,8,2016,2
2019,"056903901",1,2,20,1,2017,4
2019,"057100801",1,1,1,10,2015,nan
2019,"057300101",1,1,68,11,2015,nan
2019,"057300301",1,1,82,12,2018,nan
2019,"057502301",1,2,76,4,2017,nan
2019,"057503601",1,2,41,10,2017,4
2019,"057603501",1,2,86,8,2016,nan
2019,"057603501",2,1,79,10,2016,nan
2019,"057704501",1,2,68,2,2018,nan
2019,"057805001",1,1,68,5,2017,nan
2019,"057807701",1,2,2,6,2014,nan
2019,"057908801",1,2,60,7,2016,nan
2019,"057911101",1,1,77,2,2019,nan
2019,"058008801",1,1,68,4,2016,nan
2019,"058103601",1,2,89,2,2016,nan
2019,"058608001",1,1,81,7,2018,nan
2019,"058710501",1,1,52,4,2015,nan
2019,"058713301",1,2,0,2,2019,nan
2019,"058801301",1,1,0,3,2019,nan
2019,"058803501",1,2,55,2,2016,nan
2019,"058806801",1,2,70,3,2014,nan
2019,"058807401",1,1,36,11,2018,nan
2019,"059002801",1,1,68,12,2017,nan
2019,"059005001",1,2,86,4,2017,nan
2019,"059005001",2,1,94,12,2018,nan
2019,"059013101",1,2,78,10,2014,nan
2019,"059300201",1,1,92,12,2015,nan
2019,"059313701",1,1,74,8,2014,nan
2019,"059512801",1,2,63,1,2017,nan
2019,"059610701",1,2,92,9,2016,nan
2019,"059610701",2,2,72,4,2019,nan
2019,"059708301",1,1,14,3,2014,nan
2019,"059808501",1,1,78,10,2017,nan
2019,"059811301",1,2,39,3,2018,4
2019,"059911001",1,2,102,5,2016,nan
2019,"060000201",1,2,70,10,2015,nan
2019,"060005801",1,2,30,4,2014,4
2019,"060009701",1,2,68,2,2018,nan
2019,"060202801",1,2,84,5,2014,nan
2019,"060206901",1,2,60,4,2016,nan
2019,"060301001",1,1,62,7,2016,nan
2019,"060301001",2,2,67,11,2017,nan
2019,"060413801",1,1,75,12,2017,nan
2019,"060414001",1,2,14,5,2018,4
2019,"060502201",1,1,76,10,2016,nan
2019,"060503601",1,1,38,11,2018,nan
2019,"060702701",1,1,1,12,2015,nan
